DSN Contacts
Spacecraft = MMS2
Attitude = Ideal Mission Attitude
StartTime = 2021-051/03:45:00 UTC  (MMS TAI: 1624592669)
StopTime = 2021-268/11:55:00 UTC  (MMS TAI: 1624592669)
Project = System Manager Contact Analysis
Source = FDGSS OPS
FileCreationDate = Feb 17 2021 12:33:09.342 UTC
Stations = Goldstone (DS24, DS26), Canberra (DS34, DS36), Madrid (DS54, DS56, DS65)

Contact Event            Entry Epoch (UTC)        Exit Epoch (UTC)         Duration (min)           Data Rate                AOS Constraint           LOS Constraint           
DS34 --> MMS2_1          2021-058/01:13:09        2021-058/01:41:36        28.45000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_1          2021-058/01:13:08        2021-058/01:41:36        28.46667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_1          2021-058/01:56:42        2021-058/02:44:23        47.68333                 2.50 Mbps                ReturnDataRate           FieldOfView              
DS36 --> MMS2_1          2021-058/01:56:42        2021-058/02:32:18        35.60000                 2.50 Mbps                ReturnDataRate           Mask                     
DS26 --> MMS2_1          2021-058/03:40:32        2021-058/04:15:38        35.10000                 1.25 Mbps                ForwardDataRate          ForwardDataRate          
DS26 --> MMS2_1          2021-058/03:40:32        2021-058/04:13:15        32.71667                 2.50 Mbps                ForwardDataRate          ReturnDataRate           
DS24 --> MMS2_1          2021-058/03:40:32        2021-058/04:15:38        35.10000                 1.25 Mbps                ForwardDataRate          ForwardDataRate          
DS24 --> MMS2_1          2021-058/03:40:32        2021-058/04:13:15        32.71667                 2.50 Mbps                ForwardDataRate          ReturnDataRate           
DS26 --> MMS2_2          2021-058/04:02:51        2021-058/04:21:30        18.65000                 1.25 Mbps                ForwardDataRate          FieldOfView              
DS26 --> MMS2_2          2021-058/04:02:51        2021-058/04:21:30        18.65000                 2.50 Mbps                ForwardDataRate          FieldOfView              
DS24 --> MMS2_2          2021-058/04:02:51        2021-058/04:21:30        18.65000                 1.25 Mbps                ForwardDataRate          FieldOfView              
